epoch,Train Losses,Val Losses,Val Accuracies,Train Accuracies
0,2.346487545819016,0.6492124813190405,84.05797101449275,52.600931677018636
1,0.7559380864504701,0.36775542774062225,87.8623188405797,79.30900621118012
2,0.5422535964420864,0.32301861652429553,89.76449275362319,83.19099378881988
3,0.49194482838885384,0.29914717181869177,90.48913043478261,84.277950310559
4,0.42662622219657304,0.28963571830072266,91.03260869565217,87.5776397515528
5,0.44173042004152857,0.3019742874995522,89.40217391304348,86.21894409937889
6,0.3772968446245845,0.27526866828185925,90.94202898550725,87.88819875776397
7,0.34099917086014836,0.257633067343546,90.94202898550725,89.40217391304348
8,0.3242339402992533,0.2499931240859239,92.02898550724638,89.94565217391305
9,0.3348830679188604,0.2394954458526943,92.02898550724638,89.2080745341615
10,0.3108940141171402,0.25221798493378406,91.21376811594203,90.29503105590062
11,0.30404640317703624,0.23878987587016562,92.30072463768116,90.87732919254658
12,0.2682992453160493,0.2660189638103264,90.57971014492753,92.3913043478261
13,0.2783052136438974,0.24039655060007953,92.84420289855072,91.77018633540372
14,0.2677349561119672,0.2528515220552251,91.21376811594203,91.53726708074534
15,0.2500249445438385,0.23692956286064093,91.66666666666667,92.62422360248448
16,0.29315722599533034,0.23301340142885843,92.84420289855072,90.6832298136646
17,0.2588118335104877,0.2450043481329213,93.02536231884058,91.65372670807453
18,0.22826550419656386,0.24630826949209406,92.02898550724638,93.12888198757764
19,0.26062390374841155,0.2681229837994645,91.21376811594203,91.38198757763975
20,0.24372291120683184,0.23542947332928146,92.66304347826087,92.1583850931677
21,0.21092168274133102,0.2656938258720481,91.48550724637681,93.32298136645963
22,0.20030946150329543,0.2422348336465117,92.02898550724638,94.13819875776397
23,0.22146647902471678,0.2376300269278927,91.93840579710145,92.89596273291926
24,0.20200298032405214,0.23834977547327676,92.3913043478261,93.8276397515528
25,0.22889538997818965,0.2341025450091431,93.20652173913044,93.47826086956522
26,0.18194298677562926,0.23691605096277984,91.93840579710145,94.75931677018633
27,0.15567093995046913,0.23195357879866724,92.3913043478261,95.53571428571429
28,0.18225058940997035,0.23264469033566074,93.3876811594203,94.64285714285714
29,0.2128546548926312,0.2251547248899073,93.47826086956522,93.12888198757764
30,0.20063918884496512,0.23066021696380948,92.93478260869566,94.06055900621118
31,0.19173965024651948,0.23312158601871436,93.3876811594203,94.21583850931677
32,0.1777705614055906,0.22652336436769235,93.20652173913044,94.37111801242236
33,0.16537667505489373,0.22829003480897433,92.66304347826087,95.03105590062111
34,0.18411420085554167,0.2223319877748904,93.20652173913044,94.56521739130434
35,0.17061421562055623,0.22842346606911093,92.93478260869566,94.83695652173913
36,0.17934166737224744,0.23090956824413245,92.93478260869566,94.68167701863354
37,0.19845511003032976,0.22562565708505936,93.02536231884058,93.7111801242236
38,0.18924498326659944,0.2306480360203895,92.93478260869566,94.56521739130434
39,0.1854978435157989,0.24616169627161993,92.21014492753623,94.21583850931677
40,0.16014929078750728,0.23605660467908002,92.57246376811594,95.2251552795031
41,0.18192350420152179,0.231705405573914,92.84420289855072,94.48757763975155
42,0.17998810677054505,0.23029007492721945,93.1159420289855,93.90527950310559
43,0.16456359402733559,0.22902611869832742,93.20652173913044,94.56521739130434
44,0.18317949707093445,0.22832289856413138,92.93478260869566,95.06987577639751
45,0.14500562883682133,0.22794571907623953,92.93478260869566,95.4968944099379
46,0.15599943193034355,0.22574355420858963,92.7536231884058,95.65217391304348
47,0.16639496284242003,0.22487968098426211,93.02536231884058,95.03105590062111
48,0.15553067226587616,0.2270807276169459,92.84420289855072,95.3416149068323
49,0.175541566626996,0.2305770766907844,93.02536231884058,94.56521739130434
